"athleteName","clubName","countryName"
"Tom Pirie","Manchester United F.C.","United Kingdom"
"Francis O'Hara","Chelsea F.C.","Scotland"
"Junichi Inamoto","Arsenal F.C.","Japan"
"Håvard Nordtveit","Arsenal F.C.","Norway"
"Asier del Horno","Chelsea F.C.","Spain"
"Ryō Miyaichi","Arsenal F.C.","Japan"
"Stuart Taylor (footballer, born 1980)","Arsenal F.C.","United Kingdom"
"Joao Rodríguez (footballer)","Chelsea F.C.","Colombia"
"Hakim Ziyech","Chelsea F.C.","Netherlands"
"Paul McGrath (footballer)","Manchester United F.C.","United Kingdom"
"Alf Baker","Arsenal F.C.","United Kingdom"
"Spencer Bassett","Arsenal F.C.","United Kingdom"
"Nicky Ajose","Manchester United F.C.","United Kingdom"
"Connor Stanley (footballer)","Manchester United F.C.","United Kingdom"
"Billy Wrigglesworth","Manchester United F.C.","United Kingdom"
"Bryce Fulton","Manchester United F.C.","Scotland"
"Gary Walsh","Manchester United F.C.","United Kingdom"
"Mark Beeney","Chelsea F.C.","England"
"Fraser Digby","Manchester United F.C.","United Kingdom"
"Alan Gowling","Manchester United F.C.","United Kingdom"
"Peter Fletcher (footballer)","Manchester United F.C.","United Kingdom"
"Roger Joseph","Chelsea F.C.","United Kingdom"
"George Clegg","Manchester United F.C.","United Kingdom"
"Kahlia Hogg","Chelsea F.C.","Australia"
"Joe Dolan (footballer)","Chelsea F.C.","United Kingdom"
"Lee Doherty","Arsenal F.C.","United Kingdom"
"Peter Clark (footballer, born 1979)","Arsenal F.C.","United Kingdom"
"James Dunne (footballer, born 1989)","Arsenal F.C.","United Kingdom"
"Michael Potts (footballer)","Manchester United F.C.","United Kingdom"
"Abu Ogogo","Arsenal F.C.","United Kingdom"
"Frederick Groves (footballer, born 1891)","Arsenal F.C.","England"
"Roger Stanislaus","Arsenal F.C.","United Kingdom"
"Ronnie Briggs","Manchester United F.C.","United Kingdom"
"Roy John (footballer)","Manchester United F.C.","United Kingdom"
