athleteName,clubName,countryName
Bill Garner,Chelsea F.C.,United Kingdom
Bill Robertson,Chelsea F.C.,United Kingdom
Bill Routledge,Chelsea F.C.,United Kingdom
Bill Whittaker,Chelsea F.C.,United Kingdom
Billy Brawn,Chelsea F.C.,United Kingdom
Billy Bridgeman,Chelsea F.C.,United Kingdom
Billy Clifford,Chelsea F.C.,United Kingdom
Billy Gray,Chelsea F.C.,United Kingdom
Billy Hughes,Chelsea F.C.,United Kingdom
Billy Williams,Chelsea F.C.,United Kingdom
Bob Iles,Chelsea F.C.,United Kingdom
Bob McAuley,Chelsea F.C.,Canada
Bob McNeil,Chelsea F.C.,United Kingdom
Bob McRoberts,Chelsea F.C.,United Kingdom
Bob Thomson,Chelsea F.C.,United Kingdom
Bob Warren,Chelsea F.C.,United Kingdom
Bob Whittingham,Chelsea F.C.,United Kingdom of Great Britain and Ireland
Bobby Atherton,Chelsea F.C.,United Kingdom of Great Britain and Ireland
Bobby Laverick,Chelsea F.C.,United Kingdom
Brian Bason,Chelsea F.C.,United Kingdom
Brian Nicholas,Chelsea F.C.,United Kingdom
Buchanan Sharp,Chelsea F.C.,United Kingdom
Carly Telford,Chelsea F.C.,United Kingdom
Charlie Freeman,Chelsea F.C.,United Kingdom
Charlie Livesey,Chelsea F.C.,United Kingdom
Chris Garland,Chelsea F.C.,United Kingdom
Chris Sulley,Chelsea F.C.,United Kingdom
Cliff Huxford,Chelsea F.C.,United Kingdom
Clive Wilson,Chelsea F.C.,United Kingdom
Colin Huxford,Chelsea F.C.,United Kingdom
Colin Waldron,Chelsea F.C.,United Kingdom
Dale Jasper,Chelsea F.C.,United Kingdom
Damian Matthew,Chelsea F.C.,United Kingdom
Danny Granville,Chelsea F.C.,United Kingdom
Danny Hollands,Chelsea F.C.,United Kingdom
Danny Woodards,Chelsea F.C.,United Kingdom
Darren Barnard,Chelsea F.C.,United Kingdom
Darren Wood,Chelsea F.C.,United Kingdom
"David Calderhead, Jr.",Chelsea F.C.,United Kingdom
David Cliss,Chelsea F.C.,United Kingdom
David Copeland,Chelsea F.C.,United Kingdom
David Lee,Chelsea F.C.,United Kingdom
Davide Zappacosta,Chelsea F.C.,Italy
Dennis Rofe,Chelsea F.C.,United Kingdom
Derek Richardson,Chelsea F.C.,United Kingdom
Derek Saunders,Chelsea F.C.,United Kingdom
Derek Smethurst,Chelsea F.C.,South Africa
Dick Spence,Chelsea F.C.,United Kingdom
Dick Whittaker,Chelsea F.C.,Ireland
Dickie Deacon,Chelsea F.C.,United Kingdom
Doug Rougvie,Chelsea F.C.,United Kingdom
Eddie Lewis,Manchester United F.C.,United Kingdom
Edgar Wilson,Manchester United F.C.,United Kingdom
Edward Holt,Manchester United F.C.,United Kingdom
Edward Hudson,Manchester United F.C.,United Kingdom
Elijah Round,Manchester United F.C.,United Kingdom
Terry Skiverton,Chelsea F.C.,United Kingdom
Eric Eastwood,Manchester United F.C.,United Kingdom
Eric Parsons,Chelsea F.C.,United Kingdom
Eric Young,Manchester United F.C.,United Kingdom
Ernest Vincent,Manchester United F.C.,United Kingdom
Ernest Williams,Chelsea F.C.,United Kingdom
Ernie Bond,Manchester United F.C.,United Kingdom
Ernie Hine,Manchester United F.C.,United Kingdom
Ernie Thompson,Manchester United F.C.,United Kingdom
Daniel Pappoe,Chelsea F.C.,Ghana
Ezra Royals,Manchester United F.C.,United Kingdom
Frank Brett,Manchester United F.C.,United Kingdom
Frank Clempson,Manchester United F.C.,United Kingdom
Tommy Baldwin,Chelsea F.C.,United Kingdom
Tommy Baldwin,Manchester United F.C.,United Kingdom
Frank Gill,Manchester United F.C.,United Kingdom
Frank Harris,Manchester United F.C.,United Kingdom
Frank Haydock,Manchester United F.C.,United Kingdom
Frank Hodges,Manchester United F.C.,United Kingdom
Frank Kopel,Manchester United F.C.,United Kingdom
Frank Mitchell,Chelsea F.C.,Australia
Frank Thorpe,Manchester United F.C.,United Kingdom
Frank Upton,Chelsea F.C.,United Kingdom
Frank Wedge,Manchester United F.C.,United Kingdom
Frank Williams,Manchester United F.C.,United Kingdom
Richard Wilson,Chelsea F.C.,United Kingdom
Fraser Digby,Manchester United F.C.,United Kingdom
Fred Jones,Manchester United F.C.,United Kingdom of Great Britain and Ireland
Fred Rouse,Chelsea F.C.,United Kingdom
Fred Williams,Manchester United F.C.,United Kingdom
Freddy Capper,Manchester United F.C.,United Kingdom
Fábio Ferreira,Chelsea F.C.,Portugal
Fábio Paím,Chelsea F.C.,Portugal
Gareth Hall,Chelsea F.C.,United Kingdom
Gary Micklewhite,Manchester United F.C.,United Kingdom
Gary Stanley,Chelsea F.C.,United Kingdom
Gary Twynham,Manchester United F.C.,United Kingdom
Gary Worthington,Manchester United F.C.,United Kingdom
Gemma Bonner,Chelsea F.C.,United Kingdom
Geoff Butler,Chelsea F.C.,United Kingdom
Geoff Hunter,Manchester United F.C.,United Kingdom
George Anderson,Chelsea F.C.,United Kingdom
George Buchan,Manchester United F.C.,United Kingdom
George Clegg,Manchester United F.C.,United Kingdom
George Evans,Manchester United F.C.,United Kingdom
George Gladwin,Manchester United F.C.,United Kingdom
George Glaister,Manchester United F.C.,United Kingdom
George Haslam,Manchester United F.C.,United Kingdom
George Henderson,Chelsea F.C.,United Kingdom
George Hicks,Manchester United F.C.,United Kingdom
George Holdcroft,Manchester United F.C.,United Kingdom
George Lydon,Manchester United F.C.,United Kingdom
George Lyons,Manchester United F.C.,United Kingdom
George Millar,Manchester United F.C.,United Kingdom of Great Britain and Ireland
George Nevin,Manchester United F.C.,United Kingdom
George Nicol,Manchester United F.C.,United Kingdom
George O'Brien,Manchester United F.C.,United Kingdom
George Owen,Manchester United F.C.,United Kingdom of Great Britain and Ireland
George Perrins,Manchester United F.C.,United Kingdom
George Pybus,Chelsea F.C.,United Kingdom
George Radcliffe,Manchester United F.C.,United Kingdom
George Roughton,Manchester United F.C.,United Kingdom of Great Britain and Ireland
George Sapsford,Manchester United F.C.,United Kingdom
George Schofield,Manchester United F.C.,United Kingdom
George Smith,Chelsea F.C.,
George Switzer,Manchester United F.C.,United Kingdom
George Travers,Manchester United F.C.,United Kingdom
George W. Smith,Chelsea F.C.,United Kingdom
Gilbert Glidden,Manchester United F.C.,United Kingdom
Gilbert Godsmark,Manchester United F.C.,United Kingdom of Great Britain and Ireland
Gilbert Ovens,Chelsea F.C.,United Kingdom
Giuliano Maiorana,Manchester United F.C.,United Kingdom
Gordon Bolland,Chelsea F.C.,United Kingdom
Gordon Clayton,Manchester United F.C.,United Kingdom
Gordon Davies,Chelsea F.C.,United Kingdom
Graeme Tomlinson,Manchester United F.C.,United Kingdom
Graham Moore,Chelsea F.C.,United Kingdom
